Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-01-04,10485.81,10485.91,10248.58,10283.44,119844268
2016-01-05,10373.27,10384.26,10173.52,10310.1,84890443
2016-01-06,10288.68,10288.68,10094.18,10214.02,90465727
2016-01-07,10144.17,10145.47,9810.47,9979.85,128029005
2016-01-08,10010.47,10122.46,9849.34,9849.34,98631078
2016-01-11,9814.04,9978.69,9813.02,9825.07,92547620
2016-01-12,9832.82,10092.67,9832.82,9985.43,99681343
2016-01-13,10112.35,10164.05,9929.07,9960.96,93643404
2016-01-14,9836.85,9884.27,9614.77,9794.2,137020764
2016-01-15,9778.36,9832.92,9459.09,9545.27,146397665
2016-01-18,9542.6,9657.94,9457.95,9521.85,91275222
2016-01-19,9722.64,9756.14,9626.65,9664.21,102829567
2016-01-20,9430.13,9490.45,9314.57,9391.64,138206228
2016-01-21,9400.69,9656.33,9348.74,9574.16,147730302
2016-01-22,9762.55,9837.62,9704.9,9764.88,127518267
2016-01-25,9790.44,9800.49,9681.7,9736.15,94406875
2016-01-26,9599.56,9867.18,9563.64,9822.75,113632594
2016-01-27,9781.42,9880.82,9728.64,9880.82,91926109
2016-01-28,9826.28,9905.08,9594.8,9639.59,117743730
2016-01-29,9772.58,9798.38,9656.36,9798.11,117174610
2016-02-01,9823.73,9827.1,9638.58,9757.88,92729421
2016-02-02,9721.18,9729.23,9536.97,9581.04,107857859
2016-02-03,9541.53,9577.2,9350.98,9434.82,125091414
2016-02-04,9522.67,9539.92,9270.09,9393.36,133766206
2016-02-05,9375.29,9469.71,9250.84,9286.23,134856019
2016-02-08,9329.87,9337.52,8937.98,8979.36,154467587
2016-02-09,8980.71,9041.9,8772.88,8879.4,159802682
2016-02-10,8937.98,9128.54,8875.45,9017.29,136822309
2016-02-11,8887.89,8899.57,8699.29,8752.87,153636317
2016-02-12,8854.4,8967.51,8815.77,8967.51,160471700
2016-02-15,9163.54,9249.46,9134.76,9206.84,127182108
2016-02-16,9242.75,9269.06,9079.19,9135.11,106014204
2016-02-17,9174.28,9394.62,9156.14,9377.21,128612991
2016-02-18,9428.01,9551.87,9349.95,9463.64,123801441
2016-02-19,9420.51,9474.02,9319.1,9388.05,109839929
2016-02-22,9481.37,9581.45,9477.69,9573.59,93879879
2016-02-23,9503.12,9535.12,9405.22,9416.77,89938886
2016-02-24,9396.48,9415.33,9125.19,9167.8,102284543
2016-02-25,9277.02,9391.31,9199.09,9331.48,98941340
2016-02-26,9454.52,9576.88,9436.33,9513.3,98620745
2016-02-29,9424.93,9498.57,9332.42,9495.4,93792525
2016-03-01,9482.66,9719.02,9471.09,9717.16,99543283
2016-03-02,9780.84,9837.11,9695.98,9776.62,106449632
2016-03-03,9807.06,9808.52,9709.68,9751.92,85246708
2016-03-04,9800.86,9899.11,9742.76,9824.17,93446785
2016-03-07,9764.08,9803.73,9690,9778.93,78146888
2016-03-08,9688.47,9785.05,9617.69,9692.82,95752689
2016-03-09,9700.16,9838.95,9679.19,9723.09,100899199
2016-03-10,9697.64,9995.84,9498.15,9498.15,177504378
2016-03-11,9672.05,9833.9,9642.79,9831.13,118955181
2016-03-14,9948.21,10039.61,9936.06,9990.26,91438198
2016-03-15,9941.46,9973.58,9890.12,9933.85,77982772
2016-03-16,9971.04,10021.7,9917.92,9983.41,93635152
2016-03-17,10051.69,10055.29,9753.04,9892.2,114653212
2016-03-18,9905.67,9961.48,9822.52,9950.8,209129904
2016-03-21,9893.26,10095.46,9863.83,9948.64,78954243
2016-03-22,9836.28,9990,9762.57,9990,81627679
2016-03-23,10046.94,10112.17,9964.63,10022.93,83248080
2016-03-24,9974.6,9977.99,9845.37,9851.35,73414461
2016-03-29,9900.88,9947.03,9808.48,9887.94,67557962
2016-03-30,9951.68,10097.7,9947.26,10046.61,89486696
2016-03-31,9997.44,10021.34,9947.02,9965.51,84529545
2016-04-01,9833.26,9851.31,9675.5,9794.64,97643663
2016-04-04,9789.77,9907.05,9732.82,9822.08,73483228
2016-04-05,9647.81,9661.3,9553.17,9563.36,93710925
2016-04-06,9582.46,9635.91,9505.9,9624.51,92588495
2016-04-07,9648.55,9702.18,9484.75,9530.62,83206361
2016-04-08,9576.4,9675.03,9572.57,9622.26,78334677
2016-04-11,9595.56,9751.93,9524.66,9682.99,78479681
2016-04-12,9716.75,9770.47,9617.83,9761.47,75912864
2016-04-13,9901.13,10026.1,9893.42,10026.1,106641009
2016-04-14,10042.28,10098.44,10016.17,10093.65,82082678
2016-04-15,10063.89,10070.04,10020.34,10051.57,81966379
2016-04-18,9933.7,10147.85,9920.9,10120.31,68564608
2016-04-19,10170.18,10370.8,10150.67,10349.59,99464193
2016-04-20,10312.64,10440.13,10304.14,10421.29,96317859
2016-04-21,10456.99,10474.38,10341.97,10435.73,101414449
2016-04-22,10377.22,10422.86,10324.83,10373.49,83529505
2016-04-25,10379.16,10399.3,10233.42,10294.35,75159658
2016-04-26,10359.77,10385.23,10213.55,10259.59,79903802
2016-04-27,10283.1,10323.25,10220.57,10299.83,99071898
2016-04-28,10222.11,10331.93,10125.52,10321.15,93064301
2016-04-29,10235.47,10252.08,10038.97,10038.97,112470154
2016-05-02,10091.17,10153.9,10066.34,10123.27,62290345
2016-05-03,10052.55,10061.95,9918.43,9926.77,129501237
2016-05-04,9925.25,9959.42,9812.73,9828.25,102911720
2016-05-05,9849.7,9921.37,9805.55,9851.86,71084364
2016-05-06,9805.39,9917.63,9737,9869.95,89841453
2016-05-09,9929.19,10068.53,9878.71,9980.49,80185999
2016-05-10,10057.53,10106.93,9994.58,10045.44,83009924
2016-05-11,10055.4,10055.7,9950.11,9975.32,97288272
2016-05-12,9899.9,10078.19,9838.12,9862.12,103137102
2016-05-13,9794.83,9979.93,9767.94,9952.9,85100056
2016-05-17,10016.79,10080.31,9846.91,9890.19,98583183
2016-05-18,9828.05,9946.27,9811.86,9943.23,76853562
2016-05-19,9847.64,9899.86,9773.72,9795.89,93387316
2016-05-20,9878.49,9921.59,9852.71,9916.02,78255472
2016-05-23,9891.38,9971.74,9811.74,9842.29,76899459
2016-05-24,9798.94,10077.65,9773.8,10057.31,85241428
2016-05-25,10143.37,10233.06,10130.68,10205.21,97691057
2016-05-26,10213.87,10286.23,10207.09,10272.71,74689635
2016-05-27,10257.91,10298.76,10241.98,10286.31,64407663
2016-05-30,10293.43,10338.41,10286.33,10333.23,35396910
2016-05-31,10356.14,10365.24,10243.22,10262.74,91591206
2016-06-01,10242.78,10283.82,10160.24,10204.44,79532030
2016-06-02,10199.2,10241.75,10156.86,10208,63117958
2016-06-03,10237.58,10282.72,10040.87,10103.26,85879750
2016-06-06,10105.09,10148.96,10092.86,10121.08,55122026
2016-06-07,10196.17,10312.53,10183.19,10287.68,78493415
2016-06-08,10246.49,10266.37,10177.44,10217.03,75767886
2016-06-09,10184.48,10187.07,10050.03,10088.87,108383532
2016-06-10,10024.69,10026.49,9819.12,9834.62,109159615
2016-06-13,9715.78,9755.23,9657.44,9657.44,102325227
2016-06-14,9595.17,9620.84,9507.51,9519.2,102835357
2016-06-15,9589.47,9665.21,9567.15,9606.71,95301358
2016-06-16,9480.43,9582.38,9432.87,9550.47,101528046
2016-06-17,9620.92,9705.29,9578.15,9631.36,145900515
2016-06-20,9850.59,9996.56,9850.59,9962.02,94347659
2016-06-21,9943.84,10051.07,9930.1,10015.54,83050053
2016-06-22,10084.74,10149.81,10043.68,10071.06,80461166
2016-06-23,10122.47,10340.84,10104.92,10257.03,110232987
2016-06-24,9237.62,9720.12,9226.15,9557.16,325189532
2016-06-27,9516.92,9589.28,9214.1,9268.66,209916544
2016-06-28,9458.38,9554.41,9419.38,9447.28,136518894
2016-06-29,9557.69,9640.39,9506.29,9612.27,115823931
2016-06-30,9566.07,9695.59,9513.52,9680.09,136896561
2016-07-01,9742.84,9806.47,9657.63,9776.12,101971071
2016-07-04,9797.66,9808.99,9701.15,9709.09,79934202
2016-07-05,9656.05,9659.41,9506.84,9532.61,97702093
2016-07-06,9449.57,9530.59,9304.01,9373.26,134692440
2016-07-07,9437.47,9507.91,9399.69,9418.78,91496980
2016-07-08,9392.2,9655.92,9389.05,9629.66,97029731
2016-07-11,9744.8,9841.86,9690.18,9833.41,80795483
2016-07-12,9850.4,10013.49,9841.11,9964.07,101659026
2016-07-13,9941.99,10001.87,9919.41,9930.71,96305952
2016-07-14,10058.49,10109.86,9984.55,10068.3,100409997
2016-07-15,10031.18,10098.75,9987.05,10066.9,89992452
2016-07-18,10079.03,10160.3,10011.84,10063.13,70359308
2016-07-19,10038.95,10050.77,9923.64,9981.24,69292536
2016-07-20,10054.54,10146.71,9991.65,10142.01,79709179
2016-07-21,10195.4,10195.65,10090.12,10156.21,97531520
2016-07-22,10130.51,10181.24,10073.28,10147.46,62724864
2016-07-25,10155.2,10264.06,10125.22,10198.24,58553188
2016-07-26,10199.66,10275.41,10150,10247.76,79527315
2016-07-27,10314.43,10352.32,10298.4,10319.55,85864160
2016-07-28,10309.92,10381.9,10264.39,10274.93,95731517
2016-07-29,10320.82,10355.31,10287.32,10337.5,94143227
2016-08-01,10426.36,10459.34,10277.37,10330.52,84752784
2016-08-02,10328.87,10330.64,10128.98,10144.34,124503842
2016-08-03,10150.13,10189.15,10092.53,10170.21,89966286
2016-08-04,10237.08,10282.17,10182.4,10227.86,79200082
2016-08-05,10242.88,10374.33,10216.64,10367.21,69838698
2016-08-08,10407.5,10478.75,10403.47,10432.36,66865105
2016-08-09,10438.6,10701.33,10433.79,10692.9,81923576
2016-08-10,10676.9,10708.25,10635.11,10650.89,101105909
2016-08-11,10687.57,10742.84,10635.42,10742.84,73242610
2016-08-12,10718.33,10735.11,10685.52,10713.43,60464372
2016-08-15,10719.14,10802.32,10712.13,10739.21,42913914
2016-08-16,10666.72,10737.07,10634.68,10676.65,63827502
2016-08-17,10694.55,10696.76,10516.05,10537.67,68616090
2016-08-18,10613.08,10625.33,10548.97,10603.03,55434520
2016-08-19,10613.23,10618.11,10490.96,10544.36,75389066
2016-08-22,10528.88,10656.25,10443.48,10494.35,60733212
2016-08-23,10542.95,10627,10516.27,10592.88,57648055
2016-08-24,10531.14,10653.17,10515.16,10622.97,62918068
2016-08-25,10576.56,10576.56,10470.73,10529.59,54747938
2016-08-26,10512.21,10613.06,10484.03,10587.77,49679639
2016-08-29,10503.88,10566.69,10441.81,10544.44,35059845
2016-08-30,10588.71,10688.48,10588.48,10657.64,62085382
2016-08-31,10627.18,10666.81,10591.44,10592.69,89943820
2016-09-01,10622.33,10676.32,10492.29,10534.31,104480684
2016-09-02,10570.7,10693.64,10516.81,10683.82,83683597
2016-09-05,10712.17,10740.39,10671.55,10672.22,58164154
2016-09-06,10704.89,10742.49,10657.43,10687.14,67228345
2016-09-07,10706.86,10775.93,10659.73,10752.98,79763466
2016-09-08,10749.82,10780.42,10570.06,10675.29,93703235
2016-09-09,10641.81,10671.66,10539.31,10573.44,101924789
2016-09-12,10380.46,10431.9,10299.38,10431.77,126469933
2016-09-13,10483.07,10507.04,10382.85,10386.6,89963718
2016-09-14,10410.3,10450.41,10369.72,10378.4,94000174
2016-09-15,10360.84,10446.4,10337.23,10431.2,83377481
2016-09-16,10403.67,10427.2,10262.19,10276.17,214977906
2016-09-19,10349.87,10381.93,10326.75,10373.87,72793725
2016-09-20,10374.68,10465.95,10371.62,10393.86,74047152
2016-09-21,10496.43,10535.25,10427.22,10436.49,79030138
2016-09-22,10518.53,10705.4,10517.8,10674.18,98953610
2016-09-23,10662.49,10675.62,10610.95,10626.97,70001780
2016-09-26,10555.19,10560.83,10385.63,10393.71,105447064
2016-09-27,10451.4,10455.88,10265.69,10361.48,111484373
2016-09-28,10425.89,10518.36,10417.15,10438.34,87738723
2016-09-29,10545.6,10575.34,10370.23,10405.54,103879884
2016-09-30,10240.69,10531.26,10189.94,10511.02,188168431
2016-10-04,10492.97,10646.72,10492.25,10619.61,131527101
2016-10-05,10535.62,10622.44,10486.63,10585.78,96736401
2016-10-06,10641.13,10641.13,10537.68,10568.8,108655321
2016-10-07,10549.69,10579.09,10465.35,10490.86,125272056
2016-10-10,10496.01,10639.41,10454.98,10624.08,101673904
2016-10-11,10600.94,10692.36,10568.72,10577.16,97984006
2016-10-12,10572.72,10604,10503.2,10523.07,90401475
2016-10-13,10425.79,10430.83,10349.06,10414.07,98756273
2016-10-14,10450.06,10615.3,10449.47,10580.38,101264572
2016-10-17,10544.69,10583.7,10491.28,10503.57,63729886
2016-10-18,10560.14,10657.34,10543.69,10631.55,88963507
2016-10-19,10626.99,10672.22,10587.71,10645.68,75976535
2016-10-20,10665.75,10748.41,10592.89,10701.39,106411639
2016-10-21,10710.51,10737.26,10672.35,10710.73,86862549
2016-10-24,10743.87,10820.08,10743.87,10761.17,79892758
2016-10-25,10786.25,10827.72,10738.36,10757.31,92480484
2016-10-26,10726.22,10737.79,10632.29,10709.68,78207227
2016-10-27,10691.86,10772.67,10656.18,10717.08,84114617
2016-10-28,10634.99,10716.16,10583.57,10696.19,72757211
2016-10-31,10658.67,10687.74,10634.34,10665.01,70462663
2016-11-01,10724.14,10730.48,10506.39,10526.16,77982310
2016-11-02,10443.52,10460.93,10368.2,10370.93,92787189
2016-11-03,10341.86,10406.72,10325.88,10325.88,85258564
2016-11-04,10281.87,10286.39,10212.53,10259.13,90278793
2016-11-07,10410.56,10456.95,10381.14,10456.95,84888864
2016-11-08,10449.52,10486.04,10414.83,10482.32,78075346
2016-11-09,10181.89,10646.55,10174.92,10646.01,173824260
2016-11-10,10710.04,10793.97,10575.96,10630.12,191298216
2016-11-11,10702.88,10714.47,10584.31,10667.95,133408072
2016-11-14,10750.62,10802.39,10677.09,10693.69,134894057
2016-11-15,10720.93,10748.31,10666.17,10735.14,107326314
2016-11-16,10726.34,10735.47,10610.27,10663.87,98808310
2016-11-17,10640.36,10686.88,10604.32,10685.54,98108196
2016-11-18,10735.05,10737.98,10649.12,10664.56,106647482
2016-11-21,10697.95,10727.09,10595.14,10685.13,73724159
2016-11-22,10745.67,10767.73,10707.87,10713.85,85867221
2016-11-23,10718.89,10742.66,10602.21,10662.44,95534933
2016-11-24,10689.16,10715.65,10653.62,10689.26,55623308
2016-11-25,10700.17,10710.16,10649.37,10699.27,61043930
2016-11-28,10655.92,10658.36,10554.94,10582.67,75862477
2016-11-29,10562.15,10624.76,10539.23,10620.49,80835841
2016-11-30,10615.79,10691.67,10606.04,10640.3,110326091
2016-12-01,10593.06,10627.1,10502.54,10534.05,93397647
2016-12-02,10436.48,10545.37,10402.59,10513.35,86402751
2016-12-05,10494.64,10730.74,10493.62,10684.83,107266876
2016-12-06,10685,10786.26,10668.67,10775.32,142691652
2016-12-07,10885.05,10988.79,10873.81,10986.69,148433132
2016-12-08,11035.76,11193.1,10990.6,11179.42,180242345
2016-12-09,11170.18,11231.69,11145.98,11203.63,107041234
2016-12-12,11198.42,11213.04,11141.86,11190.21,92589385
2016-12-13,11194.67,11300.44,11191.64,11284.65,101532392
2016-12-14,11254.47,11281.43,11235.24,11244.84,93090649
2016-12-15,11267.03,11387.11,11267.03,11366.4,145748187
2016-12-16,11368.64,11451.57,11357.15,11404.01,184161520
2016-12-19,11384.03,11426.7,11380.12,11426.7,83386166
2016-12-20,11415.3,11472.08,11406.95,11464.74,78145016
2016-12-21,11445.23,11479.88,11440.29,11468.64,64311346
2016-12-22,11444.41,11475.76,11428.77,11456.1,51520761
2016-12-23,11477.23,11480.18,11409.43,11449.93,55099166
2016-12-27,11457.91,11481.46,11451.55,11472.24,29548740
2016-12-28,11469.45,11475.89,11459.4,11474.99,47142491
2016-12-29,11411.36,11459.19,11404.82,11451.05,45106536
2016-12-30,11443.31,11481.66,11405.77,11481.06,43103975
2017-01-02,11426.38,11617.28,11414.82,11598.33,48923819
2017-01-03,11631.7,11637.37,11561.23,11584.24,91147885
2017-01-04,11609.53,11616.09,11531.43,11584.31,84715048
2017-01-05,11537.73,11602.54,11537.4,11584.94,77242248
2017-01-06,11560.52,11605.74,11547.05,11599.01,69159741
2017-01-09,11606.89,11606.89,11522.35,11563.99,81163086
2017-01-10,11583.24,11606.95,11544.99,11583.3,88738896
2017-01-11,11587.53,11692.27,11524.99,11646.17,101228849
2017-01-12,11599.24,11606.43,11491.87,11521.04,101596108
2017-01-13,11576.78,11635.55,11554.45,11629.18,82608883
2017-01-16,11537.45,11579.05,11535.96,11554.71,62995014
2017-01-17,11521.5,11583.43,11425.14,11540,87255014
2017-01-18,11592.12,11599.39,11529.76,11599.39,82308118
2017-01-19,11624.11,11644.88,11578.91,11596.89,91888979
2017-01-20,11568.9,11636.79,11547.04,11630.13,114827713
2017-01-23,11545.97,11605.29,11508.83,11545.75,80310853
2017-01-24,11554.8,11596.18,11538.05,11594.94,81681377
2017-01-25,11677.63,11827.73,11669.3,11806.05,123211679
2017-01-26,11867.91,11893.08,11819.76,11848.63,93495655
2017-01-27,11841.72,11844.68,11798.26,11814.27,73417337
2017-01-30,11786.31,11792.33,11659.35,11681.89,77630121
2017-01-31,11692.53,11733.16,11535.31,11535.31,100426438
2017-02-01,11646.42,11723.39,11622.6,11659.5,97419186
2017-02-02,11628.28,11675.98,11603.65,11627.95,100632928
2017-02-03,11636.23,11696.94,11627.98,11651.49,82665350
2017-02-06,11628.03,11679.91,11509.58,11509.84,95252695
2017-02-07,11498.49,11606.26,11483.83,11549.44,72245507
2017-02-08,11546.93,11591.26,11479.78,11543.38,98264799
2017-02-09,11584.4,11657.24,11548.18,11642.86,110083284
2017-02-10,11698.7,11711.55,11645.13,11666.97,79222833
2017-02-13,11697.99,11812.69,11684.91,11774.43,79031312
2017-02-14,11766.99,11787.82,11752.68,11771.81,72651288
2017-02-15,11834.48,11848.04,11725.38,11793.93,88876094
2017-02-16,11778.99,11814.7,11728.38,11757.24,76427141
2017-02-17,11759.57,11775.4,11693.7,11757.02,92669731
2017-02-20,11831.71,11841.06,11804.72,11827.62,56384891
2017-02-21,11817.97,11987.58,11798.48,11967.49,77830012
2017-02-22,11989.71,12031.11,11966.02,11998.59,94710082
2017-02-23,11994.06,12015.98,11925.88,11947.83,71930417
2017-02-24,11920.9,11934.64,11722.35,11804.03,101754705
2017-02-27,11858.14,11860.82,11792.51,11822.67,64790799
2017-02-28,11847.09,11853.5,11780.83,11834.41,73499629
2017-03-01,11915.03,12074.02,11913.84,12067.19,109554617
2017-03-02,12052.8,12082.59,12041.9,12059.57,82100896
2017-03-03,11998.06,12058.21,11995.4,12027.36,103293098
2017-03-06,11956.81,11998.83,11921.57,11958.4,99167751
2017-03-07,11963.76,11988.87,11935.33,11966.14,78817389
2017-03-08,11922.86,12017.28,11922.31,11967.31,99113866
2017-03-09,11923.51,12024.7,11917.78,11978.39,106149104
2017-03-10,12018.48,12067.07,11936.81,11963.18,110635143
2017-03-13,11954.8,12006.01,11949.03,11990.03,78031439
2017-03-14,11987.34,12002.75,11930.38,11988.79,108404736
2017-03-15,12000.44,12027.05,11977.32,12009.87,104493036
2017-03-16,12140.3,12156.44,12046.07,12083.18,123028263
2017-03-17,12039.24,12117.9,12018.27,12095.24,193232656
2017-03-20,12050.81,12082.31,12033.24,12052.9,110670311
2017-03-21,12083.01,12111.24,11938.42,11962.13,134942061
2017-03-22,11870.78,11934.35,11850.27,11904.12,110179999
2017-03-23,11914.2,12043.67,11896.68,12039.68,87335298
2017-03-24,12033.27,12082.67,12010.33,12064.27,95562884
2017-03-27,11957.65,11996.35,11916.07,11996.07,88957895
2017-03-28,12062.69,12158.72,12045.17,12149.42,95836263
2017-03-29,12195.86,12233.76,12180.83,12203,104379324
2017-03-30,12220.64,12258.37,12200.34,12256.43,88505321
2017-03-31,12241.57,12313.29,12230.17,12312.87,113056629
2017-04-03,12368.82,12375.58,12256.94,12257.2,88500744
2017-04-04,12255.72,12288.78,12225.38,12282.34,118109970
2017-04-05,12280.06,12293.13,12212.17,12217.54,86821027
2017-04-06,12147.37,12242.5,12119.04,12230.89,76552820
2017-04-07,12174.51,12225.06,12144.98,12225.06,74114376
2017-04-10,12244.5,12246.88,12178.1,12200.52,58528145
2017-04-11,12149.4,12221.43,12049.93,12139.35,84119622
2017-04-12,12174.96,12242.76,12123.12,12154.7,76479586
2017-04-13,12137.57,12147.7,12089.94,12109,75853235
2017-04-18,12135.61,12162.47,11996.74,12000.44,89781541
2017-04-19,12014.03,12040.23,12001.86,12016.45,85822603
2017-04-20,11968.06,12050.66,11941.57,12027.32,85378069
2017-04-21,12032.78,12091.33,12009.12,12048.57,109697849
2017-04-24,12296.56,12456.18,12289.37,12454.98,191815012
2017-04-25,12457.83,12482.9,12439.11,12467.04,94319014
2017-04-26,12466.5,12486.29,12442.37,12472.8,90378708
2017-04-27,12440.01,12478.28,12426.99,12443.79,104308713
2017-04-28,12417.89,12462.11,12414.1,12438.01,104960733
2017-05-02,12478.46,12511.17,12433.51,12507.9,87900154
2017-05-03,12502.36,12532.25,12477.87,12527.84,81772015
