Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie
04.01.2016;36.38;36.38;36.38;36.38
05.01.2016;37.29;37.29;37.29;37.29
06.01.2016;36.28;36.28;36.28;36.28
07.01.2016;34.31;34.31;34.31;34.31
08.01.2016;33.13;33.13;33.13;33.13
11.01.2016;33.14;33.14;33.14;33.14
12.01.2016;31.79;31.79;31.79;31.79
18.01.2016;29.49;29.49;29.49;29.49
19.01.2016;28.71;28.71;28.71;28.71
20.01.2016;29.43;29.43;29.43;29.43
21.01.2016;27.98;27.98;27.98;27.98
25.01.2016;31.46;31.46;31.46;31.46
26.01.2016;31.24;31.24;31.24;31.24
27.01.2016;31.21;31.21;31.21;31.21
28.01.2016;32.01;32.01;32.01;32.01
29.01.2016;34.09;34.09;34.09;34.09
01.02.2016;34.69;34.69;34.69;34.69
02.02.2016;35.1;35.1;35.1;35.1
03.02.2016;33.02;33.02;33.02;33.02
04.02.2016;34.05;34.05;34.05;34.05
05.02.2016;35.12;35.12;35.12;35.12
08.02.2016;34.58;34.58;34.58;34.58
09.02.2016;33.6;33.6;33.6;33.6
10.02.2016;32.45;32.45;32.45;32.45
11.02.2016;30.96;30.96;30.96;30.96
12.02.2016;30.47;30.47;30.47;30.47
17.02.2016;33.36;33.36;33.36;33.36
18.02.2016;33.86;33.86;33.86;33.86
19.02.2016;35.06;35.06;35.06;35.06
22.02.2016;33.64;33.64;33.64;33.64
23.02.2016;34.69;34.69;34.69;34.69
24.02.2016;34.15;34.15;34.15;34.15
25.02.2016;33.14;33.14;33.14;33.14
26.02.2016;34.38;34.38;34.38;34.38
29.02.2016;35.98;35.98;35.98;35.98
01.03.2016;35.96;35.96;35.96;35.96
02.03.2016;36.77;36.77;36.77;36.77
03.03.2016;36.84;36.84;36.84;36.84
04.03.2016;36.94;36.94;36.94;36.94
07.03.2016;37.85;37.85;37.85;37.85
08.03.2016;39.78;39.78;39.78;39.78
09.03.2016;40.51;40.51;40.51;40.51
10.03.2016;40.71;40.71;40.71;40.71
14.03.2016;40.76;40.76;40.76;40.76
15.03.2016;39.49;39.49;39.49;39.49
16.03.2016;38.75;38.75;38.75;38.75
17.03.2016;39.94;39.94;39.94;39.94
18.03.2016;41.21;41.21;41.21;41.21
21.03.2016;41.83;41.83;41.83;41.83
22.03.2016;41.47;41.47;41.47;41.47
23.03.2016;41.61;41.61;41.61;41.61
24.03.2016;41.12;41.12;41.12;41.12
28.03.2016;40.03;40.03;40.03;40.03
29.03.2016;40.42;40.42;40.42;40.42
30.03.2016;39.24;39.24;39.24;39.24
31.03.2016;39.76;39.76;39.76;39.76
01.04.2016;39.66;39.66;39.66;39.66
04.04.2016;39.37;39.37;39.37;39.37
05.04.2016;38.52;38.52;38.52;38.52
06.04.2016;37.89;37.89;37.89;37.89
07.04.2016;39.26;39.26;39.26;39.26
08.04.2016;39.59;39.59;39.59;39.59
11.04.2016;41.45;41.45;41.45;41.45
12.04.2016;42.45;42.45;42.45;42.45
13.04.2016;43.98;43.98;43.98;43.98
14.04.2016;44.36;44.36;44.36;44.36
15.04.2016;44.3;44.3;44.3;44.3
18.04.2016;43.16;43.16;43.16;43.16
19.04.2016;42.36;42.36;42.36;42.36
20.04.2016;43.92;43.92;43.92;43.92
21.04.2016;44.21;44.21;44.21;44.21
22.04.2016;45.48;45.48;45.48;45.48
25.04.2016;45.14;45.14;45.14;45.14
26.04.2016;45.09;45.09;45.09;45.09
27.04.2016;45.44;45.44;45.44;45.44
28.04.2016;46.84;46.84;46.84;46.84
29.04.2016;47.57;47.57;47.57;47.57
02.05.2016;48.1;48.1;48.1;48.1
03.05.2016;46.75;46.75;46.75;46.75
04.05.2016;45.36;45.36;45.36;45.36
05.05.2016;45.16;45.16;45.16;45.16
06.05.2016;45.81;45.81;45.81;45.81
09.05.2016;45.14;45.14;45.14;45.14
10.05.2016;44.84;44.84;44.84;44.84
11.05.2016;44.74;44.74;44.74;44.74
12.05.2016;46.37;46.37;46.37;46.37
13.05.2016;47.88;47.88;47.88;47.88
16.05.2016;47.83;47.83;47.83;47.83
17.05.2016;49.04;49.04;49.04;49.04
18.05.2016;49.1;49.1;49.1;49.1
19.05.2016;49.28;49.28;49.28;49.28
20.05.2016;48.12;48.12;48.12;48.12
23.05.2016;48.89;48.89;48.89;48.89
24.05.2016;48.27;48.27;48.27;48.27
25.05.2016;48.54;48.54;48.54;48.54
26.05.2016;49.4;49.4;49.4;49.4
27.05.2016;50.06;50.06;50.06;50.06
31.05.2016;49.16;49.16;49.16;49.16
01.06.2016;49.71;49.71;49.71;49.71
02.06.2016;49.37;49.37;49.37;49.37
03.06.2016;49.81;49.81;49.81;49.81
06.06.2016;49.98;49.98;49.98;49.98
07.06.2016;50.52;50.52;50.52;50.52
08.06.2016;51.19;51.19;51.19;51.19
09.06.2016;52.28;52.28;52.28;52.28
10.06.2016;52.08;52.08;52.08;52.08
13.06.2016;51.11;51.11;51.11;51.11
14.06.2016;50.3;50.3;50.3;50.3
15.06.2016;49.87;49.87;49.87;49.87
16.06.2016;49.21;49.21;49.21;49.21
17.06.2016;47.98;47.98;47.98;47.98
20.06.2016;48.53;48.53;48.53;48.53
21.06.2016;50.32;50.32;50.32;50.32
22.06.2016;50.18;50.18;50.18;50.18
23.06.2016;50.61;50.61;50.61;50.61
24.06.2016;50.73;50.73;50.73;50.73
27.06.2016;48.57;48.57;48.57;48.57
28.06.2016;47.77;47.77;47.77;47.77
29.06.2016;48.23;48.23;48.23;48.23
01.07.2016;49.84;49.84;49.84;49.84
06.07.2016;48.62;48.62;48.62;48.62
07.07.2016;47.83;47.83;47.83;47.83
08.07.2016;48.54;48.54;48.54;48.54
11.07.2016;46.83;46.83;46.83;46.83
12.07.2016;46.55;46.55;46.55;46.55
13.07.2016;47.86;47.86;47.86;47.86
14.07.2016;47.21;47.21;47.21;47.21
15.07.2016;47.2;47.2;47.2;47.2
18.07.2016;47.48;47.48;47.48;47.48
19.07.2016;47.15;47.15;47.15;47.15
20.07.2016;46.94;46.94;46.94;46.94
21.07.2016;46.89;46.89;46.89;46.89
22.07.2016;46.82;46.82;46.82;46.82
25.07.2016;45.99;45.99;45.99;45.99
26.07.2016;45.07;45.07;45.07;45.07
27.07.2016;44.69;44.69;44.69;44.69
28.07.2016;44.22;44.22;44.22;44.22
29.07.2016;43.05;43.05;43.05;43.05
01.08.2016;42.45;42.45;42.45;42.45
02.08.2016;42.66;42.66;42.66;42.66
03.08.2016;42.55;42.55;42.55;42.55
04.08.2016;42.4;42.4;42.4;42.4
05.08.2016;43.25;43.25;43.25;43.25
08.08.2016;44.09;44.09;44.09;44.09
09.08.2016;45.12;45.12;45.12;45.12
10.08.2016;45.42;45.42;45.42;45.42
11.08.2016;44.7;44.7;44.7;44.7
12.08.2016;44.97;44.97;44.97;44.97
15.08.2016;46.52;46.52;46.52;46.52
16.08.2016;47.76;47.76;47.76;47.76
17.08.2016;48.87;48.87;48.87;48.87
18.08.2016;49.33;49.33;49.33;49.33
19.08.2016;50.3;50.3;50.3;50.3
22.08.2016;50.81;50.81;50.81;50.81
23.08.2016;49.54;49.54;49.54;49.54
24.08.2016;49.27;49.27;49.27;49.27
25.08.2016;49.3;49.3;49.3;49.3
26.08.2016;49.36;49.36;49.36;49.36
29.08.2016;49.7;49.7;49.7;49.7
30.08.2016;49.31;49.31;49.31;49.31
31.08.2016;49.19;49.19;49.19;49.19
01.09.2016;47.05;47.05;47.05;47.05
02.09.2016;47.05;47.05;47.05;47.05
07.09.2016;49.4;49.4;49.4;49.4
08.09.2016;51.41;51.41;51.41;51.41
09.09.2016;49.43;49.43;49.43;49.43
12.09.2016;49.74;49.74;49.74;49.74
14.09.2016;45.87;45.87;45.87;45.87
16.09.2016;45.78;45.78;45.78;45.78
20.09.2016;45.9;45.9;45.9;45.9
22.09.2016;47.65;47.65;47.65;47.65
23.09.2016;45.92;45.92;45.92;45.92
26.09.2016;47.27;47.27;47.27;47.27
27.09.2016;45.95;45.95;45.95;45.95
28.09.2016;48.7;48.7;48.7;48.7
29.09.2016;49.16;49.16;49.16;49.16
30.09.2016;50.05;50.05;50.05;50.05
03.10.2016;50.89;50.89;50.89;50.89
04.10.2016;50.86;50.86;50.86;50.86
05.10.2016;51.79;51.79;51.79;51.79
06.10.2016;52.53;52.53;52.53;52.53
07.10.2016;51.87;51.87;51.87;51.87
10.10.2016;53.12;53.12;53.12;53.12
11.10.2016;52.36;52.36;52.36;52.36
12.10.2016;51.8;51.8;51.8;51.8
13.10.2016;51.97;51.97;51.97;51.97
14.10.2016;51.94;51.94;51.94;51.94
20.10.2016;51.38;51.38;51.38;51.38
21.10.2016;51.77;51.77;51.77;51.77
24.10.2016;51.47;51.47;51.47;51.47
25.10.2016;50.7;50.7;50.7;50.7
26.10.2016;49.95;49.95;49.95;49.95
27.10.2016;50.48;50.48;50.48;50.48
28.10.2016;49.75;49.75;49.75;49.75
31.10.2016;48.59;48.59;48.59;48.59
01.11.2016;48.17;48.17;48.17;48.17
02.11.2016;46.86;46.86;46.86;46.86
03.11.2016;46.37;46.37;46.37;46.37
04.11.2016;45.58;45.58;45.58;45.58
07.11.2016;46.13;46.13;46.13;46.13
08.11.2016;45.99;45.99;45.99;45.99
09.11.2016;46.31;46.31;46.31;46.31
10.11.2016;45.81;45.81;45.81;45.81
11.11.2016;44.72;44.72;44.72;44.72
14.11.2016;44.4;44.4;44.4;44.4
15.11.2016;47;47;47;47
16.11.2016;46.59;46.59;46.59;46.59
17.11.2016;46.43;46.43;46.43;46.43
18.11.2016;46.87;46.87;46.87;46.87
21.11.2016;48.95;48.95;48.95;48.95
22.11.2016;49.19;49.19;49.19;49.19
23.11.2016;48.99;48.99;48.99;48.99
25.11.2016;46.95;46.95;46.95;46.95
28.11.2016;48.29;48.29;48.29;48.29
29.11.2016;46.4;46.4;46.4;46.4
30.11.2016;51.79;51.79;51.79;51.79
01.12.2016;53.94;53.94;53.94;53.94
02.12.2016;54.45;54.45;54.45;54.45
05.12.2016;54.92;54.92;54.92;54.92
06.12.2016;53.94;53.94;53.94;53.94
07.12.2016;53.07;53.07;53.07;53.07
08.12.2016;53.92;53.92;53.92;53.92
09.12.2016;54.31;54.31;54.31;54.31
12.12.2016;55.61;55.61;55.61;55.61
13.12.2016;55.71;55.71;55.71;55.71
14.12.2016;53.86;53.86;53.86;53.86
15.12.2016;54.06;54.06;54.06;54.06
16.12.2016;55.28;55.28;55.28;55.28
19.12.2016;54.92;54.92;54.92;54.92
20.12.2016;55.29;55.29;55.29;55.29
21.12.2016;54.47;54.47;54.47;54.47
22.12.2016;55.08;55.08;55.08;55.08
23.12.2016;55.04;55.04;55.04;55.04
27.12.2016;56.11;56.11;56.11;56.11
28.12.2016;56.18;56.18;56.18;56.18
29.12.2016;56.81;56.81;56.81;56.81
30.12.2016;56.87;56.87;56.87;56.87
03.01.2017;55.48;55.48;55.48;55.48
04.01.2017;56.47;56.47;56.47;56.47
05.01.2017;56.9;56.9;56.9;56.9
06.01.2017;57.11;57.11;57.11;57.11
09.01.2017;54.9;54.9;54.9;54.9
10.01.2017;53.61;53.61;53.61;53.61
11.01.2017;55.1;55.1;55.1;55.1
12.01.2017;56.05;56.05;56.05;56.05
13.01.2017;55.44;55.44;55.44;55.44
16.01.2017;55.65;55.65;55.65;55.65
17.01.2017;55.45;55.45;55.45;55.45
18.01.2017;53.94;53.94;53.94;53.94
19.01.2017;54.17;54.17;54.17;54.17
20.01.2017;55.53;55.53;55.53;55.53
23.01.2017;55.25;55.25;55.25;55.25
24.01.2017;55.42;55.42;55.42;55.42
25.01.2017;55.1;55.1;55.1;55.1
26.01.2017;56.22;56.22;56.22;56.22
27.01.2017;55.48;55.48;55.48;55.48
30.01.2017;55.23;55.23;55.23;55.23
31.01.2017;55.54;55.54;55.54;55.54
01.02.2017;56.82;56.82;56.82;56.82
02.02.2017;56.55;56.55;56.55;56.55
03.02.2017;56.79;56.79;56.79;56.79
06.02.2017;55.72;55.72;55.72;55.72
07.02.2017;55.08;55.08;55.08;55.08
08.02.2017;55.11;55.11;55.11;55.11
09.02.2017;55.6;55.6;55.6;55.6
10.02.2017;56.66;56.66;56.66;56.66
13.02.2017;55.61;55.61;55.61;55.61
14.02.2017;55.96;55.96;55.96;55.96
15.02.2017;55.71;55.71;55.71;55.71
16.02.2017;55.68;55.68;55.68;55.68
17.02.2017;55.82;55.82;55.82;55.82
20.02.2017;56.1;56.1;56.1;56.1
21.02.2017;56.68;56.68;56.68;56.68
22.02.2017;55.86;55.86;55.86;55.86
23.02.2017;56.61;56.61;56.61;56.61
24.02.2017;55.96;55.96;55.96;55.96
27.02.2017;55.93;55.93;55.93;55.93
28.02.2017;56.49;56.49;56.49;56.49
01.03.2017;56.36;56.36;56.36;56.36
02.03.2017;55.08;55.08;55.08;55.08
03.03.2017;55.91;55.91;55.91;55.91
06.03.2017;56.03;56.03;56.03;56.03
07.03.2017;55.91;55.91;55.91;55.91
08.03.2017;53.11;53.11;53.11;53.11
09.03.2017;52.14;52.14;52.14;52.14
10.03.2017;51.37;51.37;51.37;51.37
13.03.2017;51.35;51.35;51.35;51.35
14.03.2017;50.9;50.9;50.9;50.9
15.03.2017;51.74;51.74;51.74;51.74
16.03.2017;51.74;51.74;51.74;51.74
17.03.2017;51.8;51.8;51.8;51.8
20.03.2017;51.67;51.67;51.67;51.67
21.03.2017;51.01;51.01;51.01;51.01
22.03.2017;50.66;50.66;50.66;50.66
23.03.2017;50.56;50.56;50.56;50.56
24.03.2017;50.83;50.83;50.83;50.83
27.03.2017;50.76;50.76;50.76;50.76
28.03.2017;51.33;51.33;51.33;51.33
29.03.2017;52.39;52.39;52.39;52.39
30.03.2017;52.91;52.91;52.91;52.91
31.03.2017;53.47;53.47;53.47;53.47
03.04.2017;53.15;53.15;53.15;53.15
04.04.2017;54.12;54.12;54.12;54.12
05.04.2017;54.36;54.36;54.36;54.36
06.04.2017;54.89;54.89;54.89;54.89
07.04.2017;55.24;55.24;55.24;55.24
10.04.2017;55.96;55.96;55.96;55.96
11.04.2017;56.22;56.22;56.22;56.22
12.04.2017;55.86;55.86;55.86;55.86
13.04.2017;55.85;55.85;55.85;55.85
17.04.2017;55.35;55.35;55.35;55.35
18.04.2017;54.94;54.94;54.94;54.94
19.04.2017;52.92;52.92;52.92;52.92
20.04.2017;52.99;52.99;52.99;52.99
21.04.2017;51.97;51.97;51.97;51.97
24.04.2017;51.62;51.62;51.62;51.62
25.04.2017;52.09;52.09;52.09;52.09
26.04.2017;51.79;51.79;51.79;51.79
27.04.2017;51.48;51.48;51.48;51.48
28.04.2017;52.02;52.02;52.02;52.02
01.05.2017;51.55;51.55;51.55;51.55
02.05.2017;50.46;50.46;50.46;50.46
03.05.2017;50.77;50.77;50.77;50.77
04.05.2017;48.39;48.39;48.39;48.39
05.05.2017;49.11;49.11;49.11;49.11
08.05.2017;49.33;49.33;49.33;49.33
09.05.2017;48.73;48.73;48.73;48.73
10.05.2017;50.17;50.17;50.17;50.17
11.05.2017;50.73;50.73;50.73;50.73
12.05.2017;50.82;50.82;50.82;50.82
15.05.2017;51.83;51.83;51.83;51.83
16.05.2017;51.64;51.64;51.64;51.64
17.05.2017;52.2;52.2;52.2;52.2
18.05.2017;52.52;52.52;52.52;52.52
19.05.2017;53.62;53.62;53.62;53.62
22.05.2017;53.89;53.89;53.89;53.89
23.05.2017;54.15;54.15;54.15;54.15
24.05.2017;53.94;53.94;53.94;53.94
25.05.2017;51.42;51.42;51.42;51.42
26.05.2017;52.14;52.14;52.14;52.14
29.05.2017;52.25;52.25;52.25;52.25
30.05.2017;51.82;51.82;51.82;51.82
31.05.2017;50.72;50.72;50.72;50.72
01.06.2017;50.59;50.59;50.59;50.59
02.06.2017;49.91;49.91;49.91;49.91
05.06.2017;49.48;49.48;49.48;49.48
06.06.2017;50.05;50.05;50.05;50.05
07.06.2017;48.16;48.16;48.16;48.16
08.06.2017;47.89;47.89;47.89;47.89
09.06.2017;48.16;48.16;48.16;48.16
12.06.2017;48.29;48.29;48.29;48.29
13.06.2017;48.68;48.68;48.68;48.68
14.06.2017;47.06;47.06;47.06;47.06
15.06.2017;46.9;46.9;46.9;46.9
16.06.2017;47.36;47.36;47.36;47.36
19.06.2017;46.94;46.94;46.94;46.94
20.06.2017;46.05;46.05;46.05;46.05
21.06.2017;44.77;44.77;44.77;44.77
22.06.2017;45.21;45.21;45.21;45.21
23.06.2017;45.55;45.55;45.55;45.55
26.06.2017;45.85;45.85;45.85;45.85
27.06.2017;46.67;46.67;46.67;46.67
28.06.2017;47.32;47.32;47.32;47.32
29.06.2017;47.4;47.4;47.4;47.4
30.06.2017;48.74;48.74;48.74;48.74
03.07.2017;49.68;49.68;49.68;49.68
05.07.2017;47.77;47.77;47.77;47.77
06.07.2017;48.11;48.11;48.11;48.11
07.07.2017;46.72;46.72;46.72;46.72
10.07.2017;46.89;46.89;46.89;46.89
11.07.2017;47.54;47.54;47.54;47.54
12.07.2017;47.73;47.73;47.73;47.73
13.07.2017;48.39;48.39;48.39;48.39
14.07.2017;48.9;48.9;48.9;48.9
17.07.2017;48.42;48.42;48.42;48.42
18.07.2017;48.84;48.84;48.84;48.84
19.07.2017;49.7;49.7;49.7;49.7
20.07.2017;49.34;49.34;49.34;49.34
21.07.2017;48.05;48.05;48.05;48.05
24.07.2017;48.61;48.61;48.61;48.61
25.07.2017;50.23;50.23;50.23;50.23
26.07.2017;50.96;50.96;50.96;50.96
27.07.2017;51.51;51.51;51.51;51.51
28.07.2017;52.55;52.55;52.55;52.55
31.07.2017;52.71;52.71;52.71;52.71
01.08.2017;51.81;51.81;51.81;51.81
02.08.2017;52.37;52.37;52.37;52.37
03.08.2017;52.03;52.03;52.03;52.03
04.08.2017;52.41;52.41;52.41;52.41
